VISITING	HOME	WEEK	DATE	TIME	TV
Cincinnati	@Cleveland	Week 15	SUN, DEC 14	1:00 PM	CBS
Minnesota	@Detroit	Week 15	SUN, DEC 14	1:00 PM	FOX
Houston	@Indianapolis	Week 15	SUN, DEC 14	1:00 PM	CBS
Oakland	@Kansas City	Week 15	SUN, DEC 14	1:00 PM	CBS
Miami	@New England	Week 15	SUN, DEC 14	1:00 PM	CBS
Washington	@NY Giants	Week 15	SUN, DEC 14	1:00 PM	FOX
Tampa Bay	@Carolina	Week 15	SUN, DEC 14	1:00 PM	FOX
Jacksonville	@Baltimore	Week 15	SUN, DEC 14	1:00 PM	CBS
NY Jets	@Tennessee	Week 15	SUN, DEC 14	4:05 PM	CBS
Denver	@San Diego	Week 15	SUN, DEC 14	4:05 PM	CBS
San Francisco	@Seattle	Week 15	SUN, DEC 14	4:25 PM	FOX
Dallas	@Philadelphia	Week 15	SUN, DEC 14	8:30 PM	NBC
New Orleans	@Chicago	Week 15	MON, DEC 15	8:30 PM	ESPN
Tennessee	@Jacksonville	Week 16	THU, DEC 18	8:25 PM	NFL
San Diego	@San Francisco	Week 16	SAT, DEC 20	TBD	CBS
Philadelphia	@Washington	Week 16	SAT, DEC 20	TBD	CBS
Detroit	@Chicago	Week 16	SUN, DEC 21	1:00 PM	FOX
Minnesota	@Miami	Week 16	SUN, DEC 21	1:00 PM	FOX
Atlanta	@New Orleans	Week 16	SUN, DEC 21	1:00 PM	FOX
New England	@NY Jets	Week 16	SUN, DEC 21	1:00 PM	CBS
Kansas City	@Pittsburgh	Week 16	SUN, DEC 21	1:00 PM	CBS
Green Bay	@Tampa Bay	Week 16	SUN, DEC 21	1:00 PM	FOX
Cleveland	@Carolina	Week 16	SUN, DEC 21	1:00 PM	CBS
Baltimore	@Houston	Week 16	SUN, DEC 21	1:00 PM	CBS
NY Giants	@St. Louis	Week 16	SUN, DEC 21	4:05 PM	FOX
Indianapolis	@Dallas	Week 16	SUN, DEC 21	4:25 PM	CBS
